,Bordeaux-style Red Blend,Cabernet Sauvignon,Chardonnay,Pinot Noir,Red Blend
168,95.0,90.0,88.0,90.0,89.0
169,95.0,89.0,88.0,90.0,89.0
170,95.0,89.0,88.0,90.0,89.0
171,95.0,86.0,92.0,90.0,86.0
172,94.0,86.0,92.0,90.0,86.0
173,94.0,86.0,92.0,92.0,86.0
174,86.0,88.0,92.0,92.0,88.0
175,86.0,91.0,90.0,92.0,88.0
176,86.0,91.0,90.0,92.0,88.0
177,86.0,91.0,87.0,92.0,88.0
178,86.0,92.0,87.0,92.0,91.0
179,86.0,92.0,88.0,84.0,91.0
180,86.0,92.0,88.0,84.0,91.0
181,86.0,92.0,88.0,90.0,90.0
182,89.0,92.0,90.0,90.0,92.0
183,90.0,87.0,87.0,90.0,87.0
184,90.0,89.0,91.0,90.0,89.0
185,90.0,89.0,90.0,88.0,89.0
186,90.0,89.0,90.0,88.0,89.0
187,90.0,90.0,90.0,88.0,89.0
188,89.0,90.0,90.0,88.0,89.0
189,89.0,96.0,90.0,88.0,90.0
190,89.0,86.0,89.0,88.0,89.0
191,87.0,86.0,86.0,90.0,86.0
192,94.0,86.0,86.0,90.0,86.0
193,94.0,92.0,88.0,90.0,86.0
194,94.0,92.0,91.0,90.0,91.0
195,94.0,91.0,91.0,90.0,89.0
196,86.0,89.0,91.0,90.0,89.0
197,86.0,91.0,90.0,90.0,89.0
198,86.0,91.0,90.0,90.0,89.0
199,86.0,90.0,90.0,90.0,88.0
200,89.0,90.0,92.0,90.0,88.0
201,90.0,87.0,92.0,90.0,88.0
202,90.0,87.0,87.0,90.0,91.0
203,89.0,87.0,87.0,90.0,91.0
204,89.0,89.0,89.0,92.0,91.0
205,87.0,95.0,90.0,92.0,91.0
206,87.0,86.0,90.0,90.0,91.0
207,87.0,86.0,90.0,90.0,90.0
208,87.0,86.0,89.0,90.0,87.0
209,87.0,91.0,89.0,90.0,89.0
210,87.0,91.0,86.0,90.0,89.0
211,94.0,91.0,86.0,84.0,89.0
212,94.0,89.0,86.0,87.0,95.0
213,94.0,91.0,86.0,87.0,86.0
214,94.0,91.0,86.0,87.0,91.0
215,94.0,91.0,91.0,90.0,89.0
216,94.0,90.0,91.0,90.0,89.0
217,89.0,90.0,89.0,90.0,91.0
218,86.0,90.0,89.0,88.0,90.0
219,85.0,88.0,89.0,88.0,90.0
220,85.0,89.0,89.0,88.0,88.0
221,85.0,89.0,91.0,88.0,88.0
222,85.0,87.0,91.0,88.0,88.0
223,85.0,87.0,91.0,88.0,89.0
224,85.0,89.0,91.0,88.0,89.0
225,85.0,89.0,91.0,88.0,89.0
226,91.0,89.0,90.0,88.0,89.0
227,91.0,86.0,90.0,88.0,89.0
228,89.0,86.0,87.0,88.0,87.0
229,89.0,86.0,89.0,88.0,87.0
230,90.0,91.0,89.0,87.0,87.0
231,90.0,91.0,86.0,90.0,87.0
232,90.0,89.0,86.0,90.0,87.0
233,90.0,90.0,86.0,90.0,87.0
234,90.0,90.0,91.0,90.0,89.0
235,90.0,90.0,91.0,90.0,89.0
236,89.0,90.0,89.0,92.0,94.0
237,94.0,90.0,89.0,92.0,86.0
238,94.0,90.0,89.0,92.0,86.0
239,91.0,90.0,90.0,92.0,86.0
240,91.0,90.0,88.0,92.0,88.0
241,85.0,89.0,89.0,92.0,87.0
242,85.0,89.0,89.0,92.0,91.0
243,85.0,89.0,89.0,90.0,91.0
244,85.0,89.0,89.0,90.0,89.0
245,89.0,89.0,87.0,90.0,89.0
246,89.0,87.0,87.0,98.0,90.0
247,89.0,87.0,89.0,87.0,90.0
248,89.0,89.0,89.0,87.0,89.0
249,89.0,89.0,94.0,87.0,89.0
250,90.0,86.0,94.0,87.0,89.0
251,90.0,86.0,86.0,88.0,89.0
252,90.0,86.0,86.0,88.0,94.0
253,90.0,85.0,86.0,90.0,94.0
254,86.0,87.0,86.0,90.0,89.0
255,93.0,87.0,86.0,90.0,89.0
256,93.0,87.0,87.0,90.0,89.0
257,93.0,91.0,87.0,90.0,89.0
258,93.0,91.0,87.0,90.0,86.0
259,93.0,89.0,91.0,90.0,86.0
260,93.0,89.0,91.0,87.0,86.0
261,85.0,90.0,89.0,87.0,85.0
262,85.0,90.0,89.0,87.0,85.0
263,85.0,90.0,89.0,87.0,87.0
264,85.0,90.0,90.0,87.0,89.0
265,85.0,89.0,89.0,87.0,89.0
266,85.0,89.0,89.0,90.0,89.0
267,89.0,89.0,89.0,90.0,89.0
268,89.0,87.0,89.0,90.0,89.0
269,88.0,94.0,89.0,90.0,94.0
270,93.0,91.0,89.0,92.0,94.0
271,93.0,85.0,89.0,92.0,94.0
272,93.0,85.0,89.0,92.0,89.0
273,93.0,85.0,89.0,92.0,89.0
274,90.0,85.0,89.0,92.0,88.0
275,86.0,87.0,87.0,92.0,88.0
276,86.0,89.0,94.0,90.0,88.0
277,86.0,89.0,94.0,90.0,85.0
278,88.0,89.0,86.0,90.0,87.0
279,85.0,90.0,86.0,90.0,87.0
280,85.0,90.0,85.0,97.0,87.0
281,85.0,90.0,85.0,96.0,87.0
282,84.0,86.0,87.0,96.0,87.0
283,84.0,86.0,87.0,96.0,87.0
284,84.0,86.0,91.0,96.0,87.0
285,84.0,88.0,89.0,96.0,87.0
286,84.0,89.0,89.0,88.0,87.0
287,88.0,89.0,89.0,88.0,89.0
288,93.0,91.0,89.0,88.0,89.0
289,93.0,91.0,89.0,90.0,89.0
290,93.0,91.0,89.0,90.0,90.0
291,93.0,91.0,89.0,92.0,86.0
292,93.0,85.0,89.0,92.0,93.0
293,93.0,85.0,90.0,92.0,93.0
294,86.0,85.0,90.0,92.0,88.0
295,86.0,87.0,90.0,87.0,88.0
296,88.0,87.0,89.0,87.0,88.0
297,88.0,89.0,89.0,87.0,88.0
298,88.0,93.0,87.0,87.0,88.0
299,88.0,93.0,94.0,89.0,88.0
300,88.0,90.0,94.0,89.0,88.0
301,88.0,87.0,88.0,90.0,89.0
302,90.0,87.0,88.0,90.0,89.0
303,90.0,87.0,88.0,90.0,89.0
304,90.0,87.0,88.0,90.0,89.0
305,90.0,91.0,91.0,90.0,85.0
306,88.0,91.0,85.0,89.0,85.0
307,88.0,88.0,87.0,89.0,85.0
308,90.0,88.0,87.0,89.0,85.0
309,87.0,88.0,87.0,89.0,87.0
310,87.0,88.0,89.0,89.0,87.0
311,84.0,88.0,89.0,95.0,87.0
312,84.0,88.0,89.0,95.0,89.0
313,84.0,85.0,89.0,95.0,88.0
314,84.0,84.0,89.0,95.0,89.0
315,84.0,88.0,90.0,95.0,87.0
316,84.0,88.0,90.0,86.0,87.0
317,84.0,88.0,90.0,86.0,87.0
318,84.0,93.0,90.0,92.0,87.0
319,84.0,93.0,90.0,91.0,86.0
320,90.0,86.0,90.0,89.0,91.0
321,90.0,86.0,86.0,88.0,91.0
322,88.0,88.0,86.0,88.0,91.0
323,93.0,88.0,86.0,88.0,88.0
324,93.0,88.0,93.0,90.0,88.0
325,93.0,90.0,93.0,90.0,85.0
326,93.0,87.0,93.0,87.0,84.0
327,93.0,88.0,88.0,87.0,88.0
328,88.0,88.0,89.0,87.0,86.0
329,88.0,93.0,89.0,89.0,88.0
330,88.0,93.0,91.0,89.0,90.0
331,88.0,93.0,91.0,89.0,90.0
332,88.0,88.0,85.0,89.0,90.0
333,88.0,88.0,85.0,89.0,90.0
334,86.0,88.0,87.0,89.0,88.0
335,90.0,86.0,89.0,89.0,88.0
336,90.0,86.0,89.0,89.0,88.0
337,90.0,86.0,89.0,95.0,91.0
338,89.0,86.0,89.0,95.0,87.0
339,84.0,86.0,93.0,95.0,87.0
340,84.0,86.0,93.0,95.0,87.0
341,83.0,90.0,93.0,95.0,87.0
342,83.0,90.0,93.0,95.0,87.0
343,83.0,87.0,90.0,95.0,87.0
344,93.0,83.0,90.0,95.0,87.0
345,93.0,90.0,90.0,95.0,88.0
346,93.0,90.0,90.0,86.0,88.0
347,93.0,90.0,90.0,86.0,84.0
348,93.0,90.0,87.0,91.0,84.0
349,88.0,90.0,87.0,91.0,88.0
350,88.0,88.0,86.0,89.0,88.0
351,88.0,88.0,91.0,89.0,88.0
352,88.0,88.0,88.0,89.0,88.0
353,88.0,93.0,88.0,89.0,88.0
354,88.0,88.0,88.0,88.0,93.0
355,86.0,88.0,88.0,88.0,88.0
356,89.0,88.0,88.0,88.0,88.0
357,89.0,88.0,85.0,90.0,88.0
358,89.0,87.0,85.0,90.0,88.0
359,83.0,86.0,84.0,89.0,89.0
360,83.0,90.0,84.0,89.0,87.0
361,83.0,88.0,88.0,89.0,87.0
362,83.0,93.0,88.0,89.0,87.0
363,90.0,88.0,93.0,89.0,87.0
364,90.0,88.0,93.0,89.0,87.0
365,92.0,88.0,86.0,89.0,84.0
366,92.0,88.0,86.0,87.0,84.0
367,92.0,88.0,88.0,87.0,83.0
368,92.0,85.0,88.0,87.0,83.0
369,92.0,85.0,88.0,87.0,93.0
370,92.0,85.0,90.0,89.0,93.0
371,92.0,85.0,88.0,89.0,93.0
372,92.0,88.0,88.0,89.0,88.0
373,88.0,89.0,90.0,94.0,88.0
374,88.0,89.0,87.0,94.0,88.0
375,88.0,89.0,87.0,94.0,86.0
376,85.0,92.0,87.0,94.0,87.0
377,85.0,92.0,87.0,94.0,86.0
378,85.0,90.0,88.0,94.0,86.0
379,85.0,90.0,88.0,94.0,83.0
380,88.0,90.0,88.0,94.0,82.0
381,88.0,90.0,88.0,87.0,82.0
382,89.0,90.0,84.0,87.0,82.0
383,89.0,96.0,84.0,91.0,88.0
384,89.0,94.0,84.0,91.0,92.0
385,90.0,88.0,90.0,91.0,92.0
386,81.0,88.0,90.0,91.0,88.0
387,88.0,85.0,90.0,91.0,88.0
388,88.0,85.0,88.0,89.0,88.0
389,88.0,88.0,88.0,89.0,88.0
390,85.0,87.0,88.0,89.0,88.0
391,85.0,87.0,88.0,89.0,88.0
392,85.0,89.0,88.0,89.0,88.0
393,85.0,89.0,93.0,89.0,85.0
394,87.0,86.0,88.0,89.0,88.0
395,89.0,86.0,88.0,89.0,88.0
396,89.0,94.0,88.0,89.0,88.0
397,89.0,94.0,88.0,89.0,88.0
398,89.0,94.0,88.0,87.0,88.0
399,89.0,88.0,88.0,87.0,89.0
400,92.0,92.0,88.0,87.0,89.0
401,92.0,92.0,88.0,94.0,89.0
402,92.0,87.0,88.0,94.0,89.0
403,92.0,87.0,90.0,94.0,92.0
404,92.0,88.0,90.0,94.0,92.0
405,92.0,88.0,90.0,94.0,92.0
406,88.0,87.0,90.0,94.0,86.0
407,88.0,87.0,90.0,94.0,86.0
408,88.0,90.0,90.0,94.0,86.0
409,88.0,90.0,88.0,94.0,86.0
410,87.0,90.0,93.0,94.0,86.0
411,85.0,89.0,93.0,89.0,90.0
412,90.0,89.0,93.0,89.0,88.0
413,90.0,86.0,93.0,87.0,92.0
414,89.0,86.0,88.0,87.0,85.0
415,89.0,86.0,88.0,87.0,85.0
416,89.0,88.0,88.0,91.0,87.0
417,89.0,88.0,88.0,91.0,87.0
418,93.0,88.0,88.0,89.0,87.0
419,93.0,87.0,88.0,89.0,89.0
420,90.0,90.0,88.0,89.0,89.0
421,92.0,92.0,88.0,89.0,90.0
422,92.0,92.0,88.0,89.0,90.0
423,92.0,92.0,88.0,89.0,90.0
424,92.0,87.0,88.0,89.0,86.0
425,92.0,87.0,86.0,89.0,86.0
426,92.0,87.0,83.0,89.0,86.0
427,92.0,87.0,83.0,89.0,86.0
428,84.0,89.0,83.0,89.0,94.0
429,84.0,88.0,82.0,87.0,94.0
430,84.0,93.0,82.0,87.0,85.0
431,84.0,93.0,82.0,94.0,85.0
432,84.0,93.0,88.0,94.0,88.0
433,87.0,90.0,92.0,94.0,88.0
434,88.0,90.0,88.0,94.0,87.0
435,88.0,92.0,88.0,94.0,87.0
436,86.0,87.0,88.0,94.0,87.0
437,90.0,87.0,88.0,94.0,87.0
438,92.0,84.0,88.0,94.0,87.0
439,92.0,84.0,88.0,94.0,90.0
440,87.0,84.0,88.0,94.0,89.0
441,87.0,88.0,85.0,94.0,86.0
442,84.0,88.0,85.0,94.0,86.0
443,87.0,88.0,85.0,93.0,86.0
444,87.0,88.0,85.0,88.0,86.0
445,87.0,88.0,88.0,88.0,86.0
446,87.0,86.0,88.0,91.0,93.0
447,88.0,86.0,88.0,91.0,88.0
448,88.0,86.0,88.0,91.0,88.0
449,88.0,93.0,88.0,91.0,90.0
450,88.0,87.0,89.0,91.0,90.0
451,92.0,87.0,89.0,85.0,90.0
452,92.0,87.0,89.0,85.0,92.0
453,92.0,83.0,92.0,87.0,84.0
454,92.0,88.0,86.0,87.0,87.0
455,92.0,85.0,86.0,87.0,87.0
456,92.0,92.0,90.0,87.0,87.0
457,92.0,92.0,90.0,89.0,87.0
458,92.0,92.0,81.0,89.0,89.0
459,92.0,87.0,96.0,89.0,89.0
460,83.0,87.0,95.0,89.0,86.0
461,83.0,87.0,95.0,89.0,86.0
462,89.0,87.0,95.0,89.0,86.0
463,88.0,87.0,88.0,89.0,93.0
464,88.0,82.0,88.0,89.0,93.0
465,88.0,82.0,88.0,89.0,93.0
466,88.0,82.0,88.0,89.0,92.0
467,88.0,87.0,88.0,89.0,92.0
468,85.0,88.0,88.0,89.0,92.0
469,92.0,88.0,88.0,89.0,87.0
470,91.0,87.0,92.0,89.0,87.0
471,91.0,87.0,88.0,89.0,87.0
472,91.0,85.0,88.0,90.0,87.0
473,91.0,85.0,85.0,90.0,87.0
474,91.0,85.0,85.0,86.0,87.0
475,91.0,92.0,88.0,86.0,84.0
476,91.0,92.0,88.0,93.0,87.0
477,91.0,92.0,88.0,93.0,87.0
478,91.0,91.0,87.0,93.0,88.0
479,89.0,91.0,87.0,93.0,88.0
480,87.0,91.0,87.0,93.0,90.0
481,87.0,89.0,87.0,93.0,90.0
482,88.0,89.0,89.0,93.0,90.0
483,88.0,87.0,90.0,93.0,86.0
484,88.0,87.0,90.0,88.0,85.0
485,85.0,86.0,86.0,88.0,93.0
486,92.0,94.0,86.0,89.0,93.0
487,92.0,94.0,86.0,91.0,92.0
488,92.0,86.0,94.0,91.0,92.0
489,87.0,86.0,94.0,91.0,92.0
490,87.0,88.0,94.0,91.0,87.0
491,87.0,88.0,88.0,87.0,87.0
492,86.0,87.0,88.0,87.0,87.0
493,86.0,87.0,88.0,89.0,87.0
494,94.0,87.0,87.0,89.0,87.0
495,86.0,87.0,87.0,89.0,87.0
496,86.0,91.0,85.0,89.0,87.0
497,86.0,91.0,85.0,89.0,87.0
498,88.0,91.0,87.0,89.0,87.0
499,88.0,85.0,87.0,88.0,87.0
500,88.0,85.0,90.0,89.0,87.0
501,88.0,89.0,89.0,89.0,87.0
502,88.0,89.0,89.0,89.0,82.0
503,88.0,92.0,86.0,93.0,82.0
504,88.0,87.0,86.0,93.0,89.0
505,88.0,88.0,88.0,93.0,88.0
506,91.0,88.0,88.0,93.0,85.0
507,91.0,86.0,88.0,93.0,85.0
508,91.0,86.0,93.0,93.0,92.0
509,91.0,94.0,93.0,90.0,92.0
510,91.0,94.0,88.0,87.0,92.0
511,85.0,94.0,88.0,87.0,92.0
512,92.0,89.0,88.0,87.0,92.0
513,87.0,86.0,87.0,86.0,92.0
514,87.0,86.0,87.0,91.0,87.0
515,86.0,86.0,90.0,91.0,87.0
516,86.0,86.0,90.0,91.0,87.0
517,86.0,91.0,92.0,91.0,87.0
518,94.0,91.0,84.0,88.0,87.0
519,89.0,84.0,84.0,88.0,87.0
520,91.0,84.0,84.0,88.0,82.0
521,91.0,87.0,84.0,88.0,81.0
522,91.0,92.0,87.0,88.0,80.0
523,91.0,88.0,87.0,88.0,87.0
524,91.0,88.0,87.0,88.0,87.0
525,91.0,88.0,87.0,88.0,87.0
526,91.0,88.0,88.0,85.0,87.0
527,91.0,86.0,87.0,84.0,87.0
528,91.0,86.0,89.0,88.0,85.0
529,84.0,86.0,89.0,88.0,92.0
530,88.0,86.0,86.0,88.0,92.0
531,88.0,89.0,93.0,88.0,92.0
532,88.0,86.0,90.0,93.0,92.0
533,88.0,86.0,90.0,93.0,91.0
534,88.0,91.0,90.0,93.0,89.0
535,88.0,91.0,92.0,93.0,87.0
536,88.0,93.0,87.0,93.0,86.0
537,88.0,84.0,87.0,93.0,86.0
538,86.0,92.0,87.0,93.0,88.0
539,91.0,92.0,87.0,93.0,87.0
540,93.0,92.0,87.0,93.0,87.0
541,84.0,86.0,87.0,93.0,87.0
542,91.0,86.0,87.0,93.0,91.0
543,86.0,88.0,87.0,93.0,91.0
544,88.0,88.0,84.0,86.0,85.0
545,88.0,88.0,84.0,86.0,89.0
546,88.0,86.0,84.0,86.0,89.0
547,88.0,89.0,83.0,86.0,92.0
548,86.0,89.0,87.0,86.0,92.0
549,86.0,86.0,87.0,88.0,87.0
550,91.0,86.0,87.0,88.0,88.0
551,91.0,91.0,88.0,88.0,88.0
552,91.0,91.0,90.0,88.0,86.0
553,91.0,86.0,86.0,88.0,86.0
554,91.0,86.0,86.0,90.0,86.0
555,91.0,84.0,87.0,87.0,86.0
556,91.0,84.0,87.0,88.0,94.0
557,91.0,93.0,87.0,88.0,94.0
558,88.0,93.0,93.0,90.0,89.0
559,88.0,85.0,93.0,90.0,91.0
560,88.0,85.0,93.0,90.0,91.0
561,88.0,91.0,93.0,88.0,91.0
562,91.0,91.0,93.0,93.0,85.0
563,91.0,91.0,87.0,93.0,85.0
564,91.0,91.0,87.0,93.0,87.0
565,91.0,91.0,87.0,93.0,87.0
566,91.0,91.0,87.0,93.0,86.0
567,92.0,91.0,87.0,93.0,92.0
568,92.0,91.0,87.0,88.0,92.0
569,86.0,91.0,87.0,88.0,92.0
570,86.0,86.0,87.0,88.0,88.0
571,86.0,86.0,87.0,88.0,88.0
572,83.0,83.0,87.0,88.0,86.0
573,88.0,83.0,83.0,88.0,86.0
574,88.0,92.0,83.0,88.0,86.0
575,88.0,85.0,89.0,88.0,86.0
576,85.0,84.0,89.0,88.0,91.0
577,90.0,84.0,89.0,88.0,91.0
578,92.0,84.0,89.0,88.0,91.0
579,92.0,83.0,89.0,88.0,93.0
580,86.0,83.0,88.0,88.0,93.0
581,82.0,86.0,88.0,88.0,86.0
582,88.0,86.0,87.0,88.0,84.0
583,87.0,88.0,87.0,88.0,92.0
584,81.0,84.0,87.0,88.0,92.0
585,90.0,84.0,87.0,88.0,92.0
586,90.0,83.0,87.0,86.0,91.0
587,90.0,86.0,87.0,86.0,86.0
588,90.0,86.0,87.0,86.0,86.0
589,91.0,91.0,85.0,86.0,86.0
590,90.0,91.0,85.0,87.0,86.0
591,90.0,83.0,85.0,87.0,86.0
592,90.0,82.0,92.0,87.0,91.0
593,90.0,92.0,92.0,87.0,91.0
594,90.0,85.0,92.0,87.0,84.0
595,90.0,85.0,92.0,87.0,84.0
596,90.0,84.0,92.0,84.0,84.0
597,90.0,86.0,92.0,84.0,84.0
598,86.0,86.0,91.0,90.0,85.0
599,86.0,83.0,87.0,90.0,85.0
600,86.0,82.0,87.0,88.0,85.0
601,86.0,83.0,87.0,88.0,91.0
602,86.0,88.0,87.0,88.0,91.0
603,95.0,88.0,89.0,88.0,91.0
604,84.0,88.0,89.0,88.0,91.0
605,91.0,88.0,87.0,93.0,91.0
606,91.0,85.0,87.0,93.0,91.0
607,88.0,85.0,87.0,93.0,91.0
608,88.0,85.0,87.0,93.0,86.0
609,85.0,90.0,87.0,88.0,83.0
610,85.0,90.0,87.0,88.0,92.0
611,85.0,84.0,82.0,88.0,92.0
612,85.0,84.0,80.0,88.0,85.0
613,95.0,84.0,96.0,88.0,85.0
614,94.0,81.0,87.0,88.0,84.0
615,94.0,81.0,87.0,88.0,84.0
616,94.0,95.0,87.0,88.0,83.0
617,94.0,92.0,88.0,88.0,86.0
618,87.0,92.0,88.0,88.0,86.0
619,87.0,92.0,88.0,86.0,86.0
620,87.0,85.0,87.0,85.0,86.0
621,88.0,85.0,87.0,87.0,88.0
622,90.0,85.0,85.0,83.0,88.0
623,90.0,85.0,85.0,90.0,88.0
624,90.0,88.0,85.0,90.0,84.0
625,90.0,88.0,92.0,88.0,84.0
626,90.0,88.0,92.0,88.0,83.0
627,93.0,82.0,91.0,88.0,83.0
628,93.0,82.0,89.0,88.0,83.0
629,91.0,88.0,87.0,88.0,86.0
630,85.0,90.0,87.0,93.0,86.0
631,85.0,90.0,87.0,93.0,91.0
